FEN,Evaluation,Move
r2k1bnr/2Np1ppp/b1n1p3/8/4P3/P4N2/1PP2PPP/R1B1K2R w KQ - 3 12,+382,c7a8
8/6k1/pp1p3p/3P2p1/2PN1rP1/1P6/P6P/6K1 w - - 1 39,+431,d4e6
N2k1bnr/3p1ppp/b1n1p3/8/4P3/P4N2/1PP2PPP/R1B1K2R b KQ - 0 12,+378,g8f6
8/6k1/pp1pN2p/3P2p1/2P2rP1/1P6/P6P/6K1 b - - 2 39,+540,g7g6
8/8/pp1p2kp/3P2p1/2P2NP1/1P6/P6P/6K1 b - - 0 40,+555,g5f4
8/8/pp1pN1kp/3P2p1/2P2rP1/1P6/P6P/6K1 w - - 3 40,+524,e6f4
8/8/pp6/2prkn2/PPK5/2P2R2/5P2/8 w - - 0 45,+728,f3f5
8/8/pp6/2pr1k2/PPK5/2P5/5P2/8 w - - 0 46,+774,c4d5
8/8/pp6/2prkR2/PPK5/2P5/5P2/8 b - - 0 45,+732,e5f5
6k1/4rp1p/p5p1/8/2p5/P1N5/1P4PP/4R2K b - - 0 29,#-1,e7e1
8/8/pp6/2pK1k2/PP6/2P5/5P2/8 b - - 0 46,+1155,f5f4
r1k5/1br2p1p/p2ppPpP/RP4P1/PRPNPK2/8/8/8 b - - 8 49,-271,e6e5
r1k5/1br2p1p/p2p1PpP/RP2p1P1/PRPNPK2/8/8/8 w - - 0 50,-279,f4e3
r1k5/1br2p1p/p2p1PpP/RP2p1P1/PRPNP3/4K3/8/8 b - - 1 50,-298,e5d4
r1k5/1br2p1p/p2p1PpP/RP4P1/PRPpP3/4K3/8/8 w - - 0 51,-298,e3d4
3b3k/5R1p/p5p1/2p3Pn/1p6/3P3R/PP2rPK1/8 w - - 3 45,+175,f7f8
3b1R1k/7p/p5p1/2p3Pn/1p6/3P3R/PP2rPK1/8 b - - 4 45,+195,h8g7
3b1R2/6kp/p5p1/2p3Pn/1p6/3P3R/PP2rPK1/8 w - - 5 46,+216,f8d8
3R4/6kp/p5p1/2p3Pn/1p6/3P3R/PP2rPK1/8 b - - 0 46,+188,h5f4
